sampleid	processid
CARR_009_D3	CARR1786-23
CARR_009_D4	CARR1794-23
CARR_009_D5	CARR1802-23
CARR_009_D6	CARR1810-23
CARR_009_D7	CARR1818-23
CARR_009_D8	CARR1826-23
CARR_009_D9	CARR1834-23
CARR_009_E1	CARR1771-23
CARR_009_E10	CARR1843-23
CARR_009_E11	CARR1851-23
CARR_009_E12	CARR1859-23
CARR_009_E2	CARR1779-23
CARR_009_E3	CARR1787-23
CARR_009_E4	CARR1795-23
CARR_009_E5	CARR1803-23
CARR_009_E6	CARR1811-23
CARR_009_E7	CARR1819-23
CARR_009_E8	CARR1827-23
CARR_009_E9	CARR1835-23
CARR_009_F1	CARR1772-23
